startdate,enddate,title,description,importance,link,icon,image,date_display,"low threshold","high threshold",y_position
"1989-05-30 12:00:00","1989-05-30 12:00:00","30-05-1989: Plan Bunge y Born (Plan BB)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"1989-07-08 12:00:00","1989-07-08 12:00:00","08-07-89 Primera presidencia Carlos Saúl Menem",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"1989-07-08 12:00:00","1989-07-08 12:00:00","08-07-89 Ministro de Economía Miguel Roig (hasta 15-07-89)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1989-07-15 12:00:00","1989-07-15 12:00:00","15-07-89 Ministro de Economía Néstor Rapanelli (hasta 15-12-89)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1989-10-07 12:00:00","1989-10-07 12:00:00","7-10-1989 al 30-12-1990: Indulto a militares comprometidos en violación de DDHH (10 decretos)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1989-11-09 12:00:00","1989-11-09 12:00:00","9-10 noviembre 1989 Caída del Muro de Berlín",<p></p>,70,,shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"1989-12-15 12:00:00","1989-12-15 12:00:00","15-12-89 Ministro de Economía Antonio Erman González (hasta 31-01-91)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1990-01-01 12:00:00","1990-01-01 12:00:00","1990 Hiperinflación",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1990-03-01 12:00:00","1990-03-01 12:00:00","01-03-1990: Plan Erman III",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"1990-04-01 12:00:00","1990-04-01 12:00:00","Abril 1990: ampliación número de miembros de la Corte Suprema a 9",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"1990-10-01 12:00:00","1990-10-01 12:00:00","Oct 1990: Plan Erman V",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"1991-01-31 12:00:00","1991-01-31 12:00:00","31-01-91 Ministro de Economía Domingo Felipe Cavallo (hasta 02-08-96)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1991-03-26 12:00:00","1991-03-26 12:00:00","26-03-1991 firma del Tratado de Asunción - Creación del MERCOSUR",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1991-03-27 11:01:00","1991-03-27 11:01:00","27-03-1991: Ley de Convertibilidad (Cont.)",<p></p>,60,"[{""""url"""":""""https://drive.google.com/open?id=1XexvCr9qflqa8flg40Ae0ygihP-Ux2AM"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"1991-03-27 12:00:00","1991-03-27 12:00:00","27-03-1991: Ley de Convertibilidad",<p></p>,65,"[{""""url"""":""""https://drive.google.com/file/d/1YmT0B0sd9UT2aOklTQ_mbxMdSW7sBbZk/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":""""0"""",""""height"""":""""0""""}",da,1,100,0,
"1991-07-01 12:00:00","1991-07-01 12:00:00","Julio 1991: se imponen restricciones al derecho a la libre negociación colectiva mediante el Decrerto 1334",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"1991-10-01 12:00:00","1991-10-01 12:00:00","Octubre 1991: Eduardo Duhalde gobernador provincia Bs. As.",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"1991-10-31 23:49:00","1991-10-31 23:49:00","31-10-1991: Menem firma Decretos de Desregulación de la Economía",<p></p>,50,"[{""""url"""":""""https://drive.google.com/open?id=1SI9uTkSxm1Yuk66cPMKMyI44lXXURuTP"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"1991-11-13 12:00:00","1991-11-13 12:00:00","13-11-1991: sanción Ley Nacional de Empleo (Ley 24013)",<p></p>,55,"[{""""url"""":""""https://drive.google.com/open?id=1hs2dl9FTzhpLKu4_LW7q1okE4IEvVUoa"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"1992-01-01 12:00:00","1992-01-01 12:00:00","01-01-1992: Peso vuelve a ser la moneda de curso legal",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1992-02-07 12:00:00","1992-02-07 12:00:00","07-02-1992: Tratado de Maastricht, Unión Europea",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1992-03-17 12:00:00","1992-03-17 12:00:00","17-03-1992: atentado a la embajada de Israel",<p></p>,65,"[{""""url"""":""""https://drive.google.com/open?id=1eg_S0qXGm1P4rAoLJOZwH8n3Ru6qRO8p"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"1992-03-18 00:38:00","1992-03-18 00:38:00","17-03-1992: Atentado a la Embajada de Israel (cont.)",<p></p>,55,"[{""""url"""":""""https://drive.google.com/open?id=1IDOTINKl7pIC8WE77fZzH1J4EB5pRAty"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"1993-09-22 12:00:00","1993-09-22 12:00:00","22-09-1993: Congreso aprueba creación AFJP",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1993-11-01 12:00:00","1993-11-01 12:00:00","01-11-1993: entró en vigencia el Tratado de Maastricht, Unión Europea",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1993-12-13 12:00:00","1993-12-13 12:00:00","13-12-1993: Alfonsín y Menem firman el Pacto de Olivos",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"1994-06-22 12:00:00","1994-06-22 12:00:00","22-06-1994: Menem suprime el servicio militar obligatorio",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1994-07-18 12:00:00","1994-07-18 12:00:00","18-07-1994: Atentado a la AMIA (BIS)",<p></p>,60,"[{""""url"""":""""https://drive.google.com/file/d/1uEtQA7leyhQOI38ZFT5TBeD4fj3uHXmK/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":""""0"""",""""height"""":""""0""""}",da,1,100,0,
"1994-07-18 12:00:00","1994-07-18 12:00:00","18-07-1994: Atentado a la AMIA",<p></p>,65,"[{""""url"""":""""https://drive.google.com/file/d/1Oa2ltlXXw1vetGME661grC9U7ZEtcQl1/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":""""0"""",""""height"""":""""0""""}",da,1,100,0,
"1994-08-22 12:00:00","1994-08-22 12:00:00","Reforma Constitucional de 1994 (22-08)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"1994-11-01 12:00:00","1994-11-01 12:00:00","1994: Efecto Tequila por crisis económica en México",<p></p>,60,,shapes/triangle_gray.png,,ye,1,100,0,
"1995-05-01 12:00:00","1995-05-01 12:00:00","1995: declinación ingresos corrientes provinientes de las privatizaciones",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"1995-05-14 12:00:00","1995-05-14 12:00:00","14-05-95 Segunda presidencia Carlos Saúl Menem","<p>El 14 de mayo ocurren las elecciones presidenciales en las que Carlos S. Menem gana con el 49,9% de los votos.</p>",75,,shapes/triangle_gray.png,,da,1,100,0,
"1995-12-10 12:00:00","1995-12-10 12:00:00","1995: tasas de crecimiento negativas",<p></p>,50,,shapes/triangle_gray.png,,ye,1,100,0,
