startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"2003-05-25 12:00:00","2003-05-25 12:00:00","25-05-2003: Presidente Néstor Kirchner (hasta 10-12-2007)","<p></p>","65","[{""url"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2003-05-25 12:00:00","2003-05-25 12:00:00","25-05-2003: inicio del 1º período &#34;K&#34;: &#34;Lustro virtuoso&#34; (Damill-Frenkel; hasta inicios 2007)","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2003-07-01 12:00:00","2003-07-01 12:00:00","2º Sem-2003: superávit fiscal total (incluyendo intereses deuda pública)","<p></p>","25","","shapes/triangle_gray.png","","mo","1","100","0",""
"2003-07-01 12:00:00","2003-07-01 12:00:00","Mediados 2003: se detuvo la apreciación nominal y real","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2003-07-31 12:00:00","2003-07-31 12:00:00","31-07-2003: reintegro de títulos deuda pública en dólares a AFJP ","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2003-09-01 12:00:00","2003-09-01 12:00:00","Set-2003: acuerdo trienal con FMI (compromiso de superávit fiscal primario del 3% del PBI) ","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2003-12-01 12:00:00","2003-12-01 12:00:00","Fines 2003: el Euro cotiza por encima del dólar de EEUU","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2004-01-01 08:23:00","2004-01-01 08:23:00","2004: tren de levitación magnética en Shangai","<p></p>","55","[{""url"":""https://drive.google.com/file/d/1u4GOymQQlQ_RUuSvwv19er6L-meQe_KM/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","ye","1","100","0",""
"2004-01-01 12:00:00","2004-01-01 12:00:00","Ene-2004: Pontaquarto declaró como &#34;arrepentido&#34; en la denuncia por las coimas a legisladores por la Ley de Reforma Laboral","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2004-03-01 08:23:00","2004-03-01 08:23:00","Mar-2004: inicio de la cancelación de redescuentos (en cuotas)","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2004-05-01 08:23:00","2004-05-01 08:23:00","May-2004: Unión Europea incorpora 10 nuevos miembros (en total, 25 países)","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2004-06-01 08:23:00","2004-06-01 08:23:00","01-06-2004: propuesta definitiva de reestructuración de la deuda pública externa","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2004-06-01 08:23:00","2004-06-01 08:23:00","01-06-2004: propuesta definitiva de reestructuración de la deuda pública externa","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2004-10-01 08:23:00","2004-10-01 08:23:00","Oct-2004: inicio presidencia Tabaré Vázquez, en Uruguay","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2005-03-18 08:23:00","2005-03-18 08:23:00","18-03-2005: resultado del canje de la deuda pública: adhesión del 76,15%","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2005-06-01 08:23:00","2005-06-01 08:23:00","Jun-2005: nuevos controles de ingresos de capitales","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2005-06-01 08:23:00","2005-06-01 08:23:00","2005: política fiscal expansiva (egresos comenzaron a crecer a mayor ritmo que ingresos públicos) ","<p></p>","55","","shapes/triangle_gray.png","","ye","1","100","0",""
"2005-10-01 08:23:00","2005-10-01 08:23:00","Oct-2005: victoria política del gobierno en elecciones legislativas","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2005-11-28 08:23:00","2005-11-28 08:23:00","28-11-2005: Ministra de Economía F. Miceli (hasta 16-07-2007)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2005-12-01 08:23:00","2005-12-01 08:23:00","Dic-2005: inicio presidencia Evo Morales, en Bolivia","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2005-12-15 20:40:00","2005-12-15 20:40:00","15-12-2005: discurso Néstor Kirchner pago deuda externa al FMI","<p></p>","60","[{""url"":""https://drive.google.com/open?id=1oxFE5BpOeqrJ3THRUq36OPvNTk8xJ6qk"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2006-01-01 08:23:00","2006-01-01 08:23:00","2006: política de precios &#34;controlados&#34; para que la inflación sea de 1 dígito","<p></p>","55","","shapes/triangle_gray.png","","ye","1","100","0",""
"2006-01-03 08:23:00","2006-01-03 08:23:00","3-1-2006: cancelación efectiva de la deuda total con el FMI (cercana a U$D 11MM)","<p></p>","55","[{""url"":""https://drive.google.com/file/d/12C3Mm6cJWpf-NF7ouwhxlpcCBYTBqAzG/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2006-12-01 08:23:00","2006-12-01 08:23:00","Fines 2006: cancelación de la deuda con el FMI","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2006-12-28 08:23:00","2006-12-28 08:23:00","28-12-2006: Corte Suprema avaló la pesificación y reprogramación de los depósitos","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2007-01-01 08:23:00","2007-01-01 08:23:00","2007: se abandonó el tipo de cambio real competitivo y estable","<p></p>","55","","shapes/triangle_gray.png","","ye","1","100","0",""
"2007-01-01 08:23:00","2007-01-01 08:23:00","Com.2007: el Riesgo País argentino se iguala a Brasil y países emergentes (bajaba desde reestructuración deuda 2005)","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2007-01-01 08:23:00","2007-01-01 08:23:00","2007 y 2008 (parte): período de transición entre el 1º período &#34;K&#34; y el 2º período &#34;K&#34; (Damill-Frenkel)","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2007-01-29 08:23:00","2007-01-29 08:23:00","29-01-2007: intervención del INDEC","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2007-02-01 08:23:00","2007-02-01 08:23:00","2007: aceleración de la inflación","<p></p>","55","","shapes/triangle_gray.png","","ye","1","100","0",""
"2007-04-01 08:23:00","2007-04-01 08:23:00","Abr-2007: castigo a la deuda pública argentina en los mercados financieros (por confirmarse la subestimación IPC; Damill-Frenkel)","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2007-07-17 08:23:00","2007-07-17 08:23:00","17-07-2007: Ministro de Economía M. Peirano (hasta 10-12-2007)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2007-10-01 12:00:00","2007-10-01 12:00:00","Oct-2007: crisis de las hipotecas subprime en EEUU","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2007-12-10 18:52:00","2007-12-10 18:52:00","10-12-2007: 1º presidencia Cristina Fernández de Kirchner (hasta 10-12-2011)","<p></p>","60","[{""url"":""https://drive.google.com/file/d/19Wp5DYSosJSdjh7TvYm_z9FJ07j-pDFo/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2007-12-10 18:52:00","2007-12-10 18:52:00","10-12-2007: Ministro de Economía M.Lousteau (hasta 24-04-2008)","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2008-01-21 12:00:00","2008-01-21 12:00:00","21-01-2008: crisis bursátil en EEUU","<p></p>","50","[{""url"":""https://drive.google.com/file/d/1lwXPA78IVzKUoIkFPzpI5NXKvKNE9jzn/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2008-03-01 12:00:00","2008-03-01 12:00:00","Mar-2008: rescate de Bear Sterns (banco de inversión) y venta a JP Morgan Chase","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2008-03-11 12:00:00","2008-03-11 12:00:00","11-03-2008: CFK anunció Resolución 125/08: retenciones móviles a soja y girasol","<p></p>","50","[{""url"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":""0"",""height"":""0""}","da","1","100","0",""
"2008-03-13 12:00:00","2008-03-13 12:00:00","13-03-2008: inicio del conflicto con el campo: paro agropecuario por 129 días","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2008-04-25 18:52:00","2008-04-25 18:52:00","25-04-2008: Ministro de Economía Carlos Fernández (hasta 07-07-2009)","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2008-05-05 12:00:00","2008-05-05 12:00:00","2º semana mayo 2008: BCRA vendió U$D 2100 millones (apreciación nom: E:3$/U$D) ","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2008-09-01 12:00:00","2008-09-01 12:00:00","Set-2008: Merrill Lynch (banco de inversión) es adquirido por Bank of America","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2008-09-10 12:00:00","2008-09-10 12:00:00","Set-2008: gobierno de EEUU y FED anuncian el rescate de Freddie Mac y Fannie Mae (sociedades hipotecarias)","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2008-09-15 12:00:00","2008-09-15 12:00:00","15-09-2008: declaró la quiebra Lehman Brothers (banco de inversión)","<p></p>","55","[{""url"":""https://drive.google.com/file/d/1_6wvgPHAn1s3i_P4KUPnivqkBeQo4bTS/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2008-10-10 12:00:00","2008-10-10 12:00:00","10-10-2008: crisis bursátil mundial","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2008-10-21 12:00:00","2008-10-21 12:00:00","21-10-2008: Nacionalización del sistema privado de pensiones y jubilaciones","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2008-11-25 04:41:00","2008-11-25 04:41:00","24-11-2008 Construcción Ovnipuerto en Cachi - Salta","<p></p>","50","[{""url"":""https://drive.google.com/file/d/1v2ZLdvc4YNLZhdgTgfXtdUicjxURfXZz/view?usp=sharing"",""label"":""Turismo""}]","shapes/triangle_gray.png","{""src"":""http://guejarsierra.org/wp-content/uploads/2017/03/puntos_informacion.png"",""display_class"":""inline"",""scale"":""25"",""width"":""270"",""height"":""245""}","da","1","100","0",""
"2009-07-07 18:52:00","2009-07-07 18:52:00","07-07-2009: Ministro de Economía A. Boudou (hasta 10-12-2011)","<p></p>","55","[{""url"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2009-11-02 03:08:00","2009-11-02 03:08:00","01-11-2009: creación de la Asignación Universal por Hijo (AUH)","<p></p>","60","[{""url"":""https://drive.google.com/open?id=1PPswdP5E8BfSpKnl4vi5aBSM568Yay8Y"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2009-12-15 12:00:00","2009-12-15 12:00:00","15-12-2009: creación del &#34;Fondo del Bicentenario&#34; (DNU 2010/09)","<p></p>","50","[{""url"":""https://drive.google.com/file/d/1lFfl7lhuOm-Z5zwZwE9JN6GMQmXoKU3x/view?usp=sharing"",""label"":""InformaciÃ³n ""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2009-12-21 12:00:00","2009-12-21 12:00:00","21-12-2009: Redrado (presidente BCRA) solicitó dictamen legal para transferencia de RI al Fondo del Bicentenario","<p></p>","50","[{""url"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2010-03-01 12:00:00","2010-03-01 12:00:00","01-03-2010: CFK derogó DNU de creación del Fondo del Bicentenario, pero anunció que pagará los vtos. deuda externa por decreto y con RI del BCRA","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2011-10-28 12:00:00","2011-10-28 12:00:00","28-10-2011: inicio del &#34;Cepo&#34; cambiario","<p></p>","55","[{""url"":""https://drive.google.com/open?id=1Zyf9-8erqtrKo6LqEXhOqIH5iHG1zOsE"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2011-12-10 12:00:00","2011-12-10 12:00:00","10-12-2011: 2º presidencia de Cristina Fernández de Kirchner (hasta 09-12-2015)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2011-12-10 18:52:00","2011-12-10 18:52:00","10-12-2011: Ministro de Economía H. Lorenzino (hasta 20-11-2013)","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2011-12-18 12:00:00","2011-12-18 12:00:00","18-12-2011: finaliza la Guerra de Irak","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
