startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1955-07-01 12:00:00","1955-07-01 12:00:00","16-09-1955: Revolución Libertadora (bis)","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1e6KSXKVXux9ZN7HBRKQIo8YS0UBpuJ5U/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-07-17 13:14:00","1955-07-17 13:14:00","17-07-1955: Ministro de Finanzas J. Alizon García (hasta 14-06-1956)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"1955-09-16 12:00:00","1955-09-16 12:00:00","16-09-1955: Revolución Libertadora","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1klljqbk_wKrUujaR7zN3BKqsB1suZBa4/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-09-16 12:53:00","1955-09-16 12:53:00","16-09-1955: &#34;Revolución Libertadora&#34; (Lonardi)","<p></p>","75","[{""url"":""https://drive.google.com/file/d/1Mc8558sDpRelqDf6IOZThFsdiG_cgwVL/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-09-17 02:59:00","1955-09-17 02:59:00","16-09-1955: &#34;Revolución Libertadora&#34; (cont.)","<p></p>","65","[{""url"":""https://drive.google.com/file/d/1_1F69R1KUrNbr1MRQERY3Ax0N4qE5ocg/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-09-17 13:46:00","1955-09-17 13:46:00","Desde Revolución Libertadora: acercamiento Washington y Bs As contra Comunismo","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1x-UjBH1407S9oE4GlIv9D-PM4P3SePPw/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-09-23 12:53:00","1955-09-23 12:53:00","23-09-1955: Lonardi se declara presidente provisional","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1_tEriZVjxhkbF1JphcX5ntgnYeZoXOjl/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-09-24 13:14:00","1955-09-24 13:14:00","24-09-1955: Ministro de Hacienda E. Folcini (hasta 13-11-1955)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"1955-11-13 12:53:00","1955-11-13 12:53:00","13-11-1955: asume Aramburu","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1OrOMHvEwlq-7zJYCvdVB_hH0L4eLX3Rw/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1955-11-13 12:53:00","1955-11-13 12:53:00","13-11-1955 (hasta 1-5-1958): asume Presidencia de facto Gral. Pedro Aramburu (cont.)","<p></p>","25","[{""url"":""https://drive.google.com/file/d/1lJ-gxyEcc0-BipIbtDUq1fl3ZOCrXRqv/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
