startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1830-12-31 18:14:00","1830-12-31 18:14:00","Ledesma","<p></p>","50","[{""url"":""https://drive.google.com/open?id=199_ink2tfQnP7mpJy3oU4IJ8JQ9xM3af"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/9/9a/Logo_Ledesma.png"",""display_class"":""inline"",""scale"":""20"",""width"":""400"",""height"":""300""}","da","1","100","0",""
"1857-08-27 14:08:00","1857-08-27 14:08:00","Ferrocarril del Oeste","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mWDRGZXlGM24ybzQ"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1865-07-02 00:28:00","1865-07-02 00:28:00","Semino","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1gSn0ZAHKcAzaIjlT8raFHHvzPzvIAux5"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://s3.amazonaws.com/timeglider_user/piaggiomac81524f532e/1563733035.jpg"",""display_class"":""inline"",""scale"":""20"",""width"":""500"",""height"":""213""}","da","1","100","0",""
"1876-07-01 22:39:00","1876-07-01 22:39:00","Laboratorios Casasco","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1YlLx3mKSvmpQdII7KnpZP7CnFVpJNuog"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://www.colfarma.info/colfarma/wp-content/uploads/2018/05/casasco.png"",""display_class"":""inline"",""scale"":""30"",""width"":""225"",""height"":""225""}","da","1","100","0",""
"1877-04-10 00:50:00","1877-04-10 00:50:00","CGFSA","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1aLFuaDYv78PpA2ac3NLimQPR3W2_y8b2"",""label"":""ComaÃ±Ã­a General de FÃ³sfo""}]","shapes/triangle_gray.png","{""src"":""https://static.wixstatic.com/media/89bc94_5f8e4ae16d7943628ffc6f89faf23310~mv2_d_3508_2480_s_4_2.png/v1/fill/w_171,h_121,al_c,usm_0.66_1.00_0.01/89bc94_5f8e4ae16d7943628ffc6f89faf23310~mv2_d_3508_2480_s_4_2.png"",""display_class"":""inline"",""scale"":""50"",""width"":""0"",""height"":""0""}","da","1","100","0",""
"1880-07-01 19:34:00","1880-07-01 19:34:00","Aguila Saint","<p></p>","50","[{""url"":""https://drive.google.com/file/d/1Tu6WJccf0Mv2lhTLfrJL9wp_nLtFBwzI/view?usp=sharing"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://yt3.ggpht.com/a/AGF-l7-UhJAM8pa4oEqiBzPPvmZwfLdpyUBNmfN6-g=s900-c-k-c0xffffffff-no-rj-mo"",""display_class"":""inline"",""scale"":""8"",""width"":""900"",""height"":""900""}","da","1","100","0",""
"1880-07-14 21:00:00","1880-07-14 21:00:00","Hesperdina","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1BEpuZGRxC_jMZorOT844U1i_ksJ6XzqE"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://dehistoriaypueblo.files.wordpress.com/2011/05/bagley-ayer.jpg"",""display_class"":""inline"",""scale"":""20"",""width"":""558"",""height"":""272""}","da","1","100","0",""
"1882-03-25 07:52:00","1882-03-25 07:52:00","Rigolleau","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1TVmcBWVoxLagBQoPupx_clszfKyk12BF"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://s3.amazonaws.com/timeglider_user/piaggiomac81524f532e/1563735462.jpg"",""display_class"":""inline"",""scale"":""20"",""width"":""464"",""height"":""287""}","da","1","100","0",""
"1883-07-01 05:43:00","1883-07-01 05:43:00","Fábrica Argentina de Alpargatas (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1O9jsqaPcduQq4hcyB-j4U2A5_uPilS4d"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1883-07-01 06:08:00","1883-07-01 06:08:00","Fábrica Argentina de Alpargatas (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=18Z6sNfTswZM45vVzMdFoQjTJyKX7pYkA"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1883-07-01 23:48:00","1883-07-01 23:48:00","Frigorífico Anglo","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1RyDin7_R-LJwk7uytRFn2v17DktwL4hl"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1884-07-01 13:51:00","1884-07-01 13:51:00","Bunge y Born","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B7iXzGtHLjVvUmRRWGpDbWw1dTg"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""http://blog.mariadevedia.net/wp-content/uploads/2015/05/bunge-y-born1.jpg"",""display_class"":""inline"",""scale"":""15"",""width"":""800"",""height"":""350""}","da","1","100","0",""
"1885-07-01 19:36:00","1885-07-01 19:36:00","Alpargatas (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1eAY7FMmt8iMdM3C4sSHRAx9Sq8pXkA4c"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://s3.amazonaws.com/timeglider_user/piaggiomac81524f532e/1563735363.jpg"",""display_class"":""inline"",""scale"":""20"",""width"":""500"",""height"":""225""}","da","1","100","0",""
"1885-07-01 21:47:00","1885-07-01 21:47:00","Alpargatas (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1iV-vSbvNE8vCh3VgBXBoNs8mkNlQjAjr"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1888-07-01 10:30:00","1888-07-01 10:30:00","Quilmes","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3meExBdUR1Y19PTFU"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://seeklogo.com/images/Q/Quilmes-logo-7E8F9D4D2C-seeklogo.com.png"",""display_class"":""inline"",""scale"":""30"",""width"":""300"",""height"":""151""}","da","1","100","0",""
"1889-07-01 14:28:00","1889-07-01 14:28:00","La Matrona","<p></p>","55","[{""url"":""https://drive.google.com/open?id=1a_RA3xxRO0O03EmWgwZkbzNsuSksgBms"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1895-07-01 12:45:00","1895-07-01 12:45:00","Grimoldi","<p></p>","50","[{""url"":""https://drive.google.com/open?id=14a28-5SlBVZp7yrTeC3ujHPy-BDPcYlL"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/7/74/Grimoldi_logo.jpg"",""display_class"":""inline"",""scale"":""50"",""width"":""180"",""height"":""180""}","da","1","100","0",""
"1896-05-27 09:06:00","1896-05-27 09:06:00","Cerro Negro","<p></p>","55","[{""url"":""https://drive.google.com/open?id=13F32pJ5eTuMHPWy0rjIG-LDGY7kU2cqt"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1898-07-01 06:07:00","1898-07-01 06:07:00","British American Tabacco","<p></p>","55","[{""url"":""https://drive.google.com/open?id=1scQY67zsafAaHCO3X4JLA3aP-Ke7Z0G7"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1898-07-01 08:14:00","1898-07-01 08:14:00","Pirelli (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1NXNuRjTdjjGbpoasxINPkniQxp1PL3d3"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1898-07-01 22:33:00","1898-07-01 22:33:00","Pirelli (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B7iXzGtHLjVvRG1TZE9WNUZ0VDA"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Logo_Pirelli.svg/2000px-Logo_Pirelli.svg.png"",""display_class"":""inline"",""scale"":""7"",""width"":""2000"",""height"":""523""}","da","1","100","0",""
"1899-06-22 09:47:00","1899-06-22 09:47:00","La Martona","<p></p>","55","[{""url"":""https://drive.google.com/open?id=1iV-vSbvNE8vCh3VgBXBoNs8mkNlQjAjr"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1899-07-05 06:13:00","1899-07-05 06:13:00","Molinos Río de la Plata S.A.","<p></p>","55","[{""url"":""https://drive.google.com/open?id=1usBKqJM-a0v_uGlTldFssP8r5EheyX9q"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1902-06-17 10:07:00","1902-06-17 10:07:00","La Cantábrica","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1lYOO4AJZ_X54X6466_PIQTMxtGGQZdWp"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1902-07-01 22:42:00","1902-07-01 22:42:00","Molinos Río de la Plata","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1-E0uhnmHKkmHwEHzcuQYL7pI_jfngDop"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1905-05-31 15:11:00","1905-05-31 15:11:00","Banco Galicia","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1C6a-F-g1jisZpTWH2xzbiYQ_cKszs6at"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Logo_Banco_Galicia.svg/1200px-Logo_Banco_Galicia.svg.png"",""display_class"":""inline"",""scale"":""10"",""width"":""1200"",""height"":""349""}","da","1","100","0",""
"1907-07-01 18:46:00","1907-07-01 18:46:00","Swift","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1q67FLMktPqw7ObwgeEPqsSvO0_9e2ZfA"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://3.bp.blogspot.com/-tMeb-PnEk3o/V6h2yLMGV-I/AAAAAAAABR4/sqth_L9fCBYcLEG0QYgvrJZjYSuRide5ACEw/s1600/images.jpg"",""display_class"":""inline"",""scale"":""30"",""width"":""350"",""height"":""144""}","da","1","100","0",""
"1910-01-02 00:41:00","1910-01-02 00:41:00","Frávega","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1tB6J7GTQBeyciw8yS1LftS7KTBxbyTBe"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://ar.kineo.com/sites/default/files/images/case-study/Fravega/fravega-case-study-logo-colur.png"",""display_class"":""inline"",""scale"":""20"",""width"":""470"",""height"":""221""}","da","1","100","0",""
"1911-01-01 14:37:00","1911-01-01 14:37:00","Ferrum (2)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=1Aj4KuSFYSr9aGXAPK4qCVUpvrJ9jaIv4"",""label"":""Trabajo""}]","shapes/triangle_gray.png","","da","1","100","0",""
"1911-01-01 18:17:00","1911-01-01 18:17:00","Bayer Argentina S.A.","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mUDJuSHJYR2hoTGs"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Logo_Bayer.svg/1200px-Logo_Bayer.svg.png"",""display_class"":""inline"",""scale"":""4"",""width"":""1200"",""height"":""1200""}","da","1","100","0",""
"1911-01-01 22:23:00","1911-01-01 22:23:00","Ferrum (1)","<p></p>","50","[{""url"":""https://drive.google.com/open?id=0B8EJMhrdDQ3mczllSk93dXNYeFk"",""label"":""Trabajo""}]","shapes/triangle_gray.png","{""src"":""https://http2.mlstatic.com/para-bano-inodoro-D_NQ_NP_997999-MLA25753942821_072017-F.jpg"",""display_class"":""inline"",""scale"":""10"",""width"":""720"",""height"":""326""}","da","1","100","0",""
