name,date,img,work,present
Cicaré SA,8/9/2002,./img/cicare_sa.png,https://drive.google.com/file/d/1J6AOopdEieLhyb63WFZNDvgm-nUKN9bZ/view?usp=drivesdk,No
Telecom Argentina,15/12/1990,./img/telecom_argentina.png,https://drive.google.com/file/d/1Rucgnnh0RHMZXaGEEG_xxBF7cVDM0DYA/view?usp=drivesdk,No
Atucha II,15/12/1981,./img/atucha_ii.png,https://drive.google.com/file/d/10pO7fZEpwkVErAkJ020LT04hdVQeN1dC/view?usp=drivesdk,No
Billiken Golosinas,1/1/1960,./img/billiken_golosinas.png,https://drive.google.com/file/d/1gkqOlbjdkIWOpX3LbUokhF1n53IGI9U4/view?usp=drivesdk,No
IMSA,10/7/1947,./img/imsa.png,https://drive.google.com/file/d/1K6qoeZ_Ns6NUAXGrEXliyu0ssebA8eWb/view?usp=drivesdk,No
Singer Corporation,12/7/1851,./img/singer_corporation.png,https://drive.google.com/file/d/12pbtZq693FZ3JeewFZaGRFz8TBAzwQHn/view?usp=drivesdk,No
Ilolay,22/9/2023,./img/ilolay.png,https://drive.google.com/file/d/1NKb3YtkSQGZutfg76JuzhC-rLaBdaFGo/view?usp=drivesdk,No
Fundición Cantarini,15/10/1954,./img/fundicion_cantarini.png,https://drive.google.com/file/d/1jVo9IO936gjRqRFT7_V5JnSlt5Smfmua/view?usp=drivesdk,No
IAME,28/3/1952,./img/iame.png,https://drive.google.com/file/d/16WXVeP_sFNYFd3YTyUo3VTWXbJsjBTS_/view?usp=drivesdk,No
Giesso,12/2/1884,./img/giesso.png,https://drive.google.com/file/d/1DA8LSmFMKbOWfYOJmcZ8shljpKsjb245/view?usp=drivesdk,No
