evento,link
2001 diciembre Saqueos en Argentina.pdf,http://drive.google.com/uc?export=view&id=1IaOnJMwVYtV7zw1piZB0Ly_K6x4rvHHj
1990 11 de febrero Liberación de Nelson Mandela .pdf,http://drive.google.com/uc?export=view&id=1PzUoGS0bTx9jYmvSJ2W3iCTcs3Wtcx3v
2000 20 de abril Ley Banelco (flexibilización labora).pdf,http://drive.google.com/uc?export=view&id=1GjCG-bXgec98fr82Vj2fLUYiR_k9C4Q-
1993 Bunge y Born firma convenio con la Municipalidad de Bs As.pdf,http://drive.google.com/uc?export=view&id=1LIWRzZ_KzPUCAwpGaEsVXQKDvSa-MI6g
1999 17 de diciembre El Correntinazo.pdf,http://drive.google.com/uc?export=view&id=1QWuv7Q7ire5EjxUj2XNsGuzfNDfq-E9k
1999 31 de agosto Accidente de LAPA en Aeropuerto Jorge Newbery.pdf,http://drive.google.com/uc?export=view&id=1ZwTC-4MTmsI95Ukdbo0IIJ1rOemRAZmR
1992 17 de marzo Atentado terrorista a la Embajada de Israel.pdf,http://drive.google.com/uc?export=view&id=1pv57VcGetjPcyLSWR77WY_GCnN6kprYt
1991 27 de marzo Ley de Convertibilidad .pdf,http://drive.google.com/uc?export=view&id=1HJpqSiSoTTWRrkok1u_GHiek7F4j9szB
2001 11 de septiembre Atentado a las Torres Gemelas.pdf,http://drive.google.com/uc?export=view&id=1ET2IvZ9rRNsEybSOmXobe2zu7psYkgBv
"1985 julio Alfonsín declara ""economía de guerra"".pdf",http://drive.google.com/uc?export=view&id=1J8ou-bru6DaPX97gDmca49miOBaTpXCT
2013 13 marzo Designación de Jorge Bergoglio como Papa Francisco.pdf,http://drive.google.com/uc?export=view&id=1_nHvC3fZicccBxUlTJsHULNnoP_cCT2I
"2011 28 octubre ""Cepo"" cambiario.pdf",http://drive.google.com/uc?export=view&id=1M2hhJ7nsn_KH9P2-qvZeDKV80pIaNnDC
1991 13 de noviembre Lay Nacional N1 24.013 del Empleo.pdf,http://drive.google.com/uc?export=view&id=1gNFNx4-kb-O5CF9XYZWk_KQWIlcTQz4J
2009 1 noviembre Entra en vigencia la Asignación Universal por Hijo.pdf,http://drive.google.com/uc?export=view&id=1ExgA8bHyFzpnStTUwpNNdFJtcKwewQ-3
2005 15 diciembre Discurso de Nestor Kirchner sobre el pago de la deuda externa.pdf,http://drive.google.com/uc?export=view&id=1Yy3R7mgS3fkSx6T34Iwx7If7vmse8Agh
2014 19 agosto Cristina anuncia pago soberano de la deuda externa.pdf,http://drive.google.com/uc?export=view&id=1HMxV_pXbshJxXidyURHRAeDJ-h7S0wMa
1985 5 agosto y 1987 24 abril se reglamenta la Ley de Hidrocarburos (1967).pdf,http://drive.google.com/uc?export=view&id=1trlpSt8U7UeKXMbC0-8HLuo2YCy1vtXK
1984 31 de octubre Asesinato de Indira Gandhi.pdf,http://drive.google.com/uc?export=view&id=1hvjBMoq2KDPdaPZhUqdZhTSgvFDoCLao
1991 31 de octubre Menem decreta la desregulación de la economía.pdf,http://drive.google.com/uc?export=view&id=13evsqdk0PAJUFJP2F55A7ARkGXSqPHvs
1985 Fin de la guerra fría.pdf,http://drive.google.com/uc?export=view&id=1LkaSr2Ud7ghuuFxXdkusS1waJT3ebtPh
1983 10 diciembre Presidencia Dr. Alfonsín.pdf,http://drive.google.com/uc?export=view&id=1iJrYQKTb453WkDrSP8q-4rSYRETeB6o8
1980 10 julio Discurso Martínez de Hoz sobre la segunda parte del Plan Económico.pdf,http://drive.google.com/uc?export=view&id=1dm-04Boa-Zr9D9GTsvB_C5jA7jsYyhFM
2 de abril de 1976 Plan Económico de Martínez de Hoz.pdf,http://drive.google.com/uc?export=view&id=1xvvLHrsjh-V4m1MqcrRnKsbxiYdNarPZ
1982 2 mayo Hundimiento Crucero General Belgrano.pdf,http://drive.google.com/uc?export=view&id=1wLAUp6Sm5-Eq2vdYM3vx1awi4ozALxm2
1976 24 marzo Golpe de Estado y Dictadura cívico-militar.pdf,http://drive.google.com/uc?export=view&id=1Ocxp-dBYQBH67ZsI_f3NIYMgGc6JRc85
"1966 16 mayo Revolución Cultural Proletaria, en China (Mao Tse-Tung).pdf",http://drive.google.com/uc?export=view&id=1wfBwx-uM6G45SkZ97gFfupHtgETD_c00
1972 17 junio Comienzo del Watergate.pdf,http://drive.google.com/uc?export=view&id=1iN1ejR8dOYYuIjkCcgBLhs8OZNEChgmy
1980 13 octubre Adolfo Pérez Esquivel recibe Premio Nobel.pdf,http://drive.google.com/uc?export=view&id=1aijH6DlgCFKU0d-9lizxKKK7j4s2ea1Q
1966 6 julio Fundación Cámara Argentina de Turismo.pdf,http://drive.google.com/uc?export=view&id=1hXLmmjnLMubamM36ECZrECLiDpQFe6Mq
1966 29 junio Asunción de Onganía.pdf,http://drive.google.com/uc?export=view&id=1d5eCHX9Wo7oVX3u-m6t8iuFql-FEQoza
1974 9 agosto Escándalo del Watergate.pdf,http://drive.google.com/uc?export=view&id=143UIj90-n4ns6RwxNIeeC9T7AMCT39G7
1969 20 julio Llegada del hombre a la Luna.pdf,http://drive.google.com/uc?export=view&id=1n-R250cew5MBZZdHt0m0FLS6J9SGBQ-O
1973 25 mayo Ministro de Economía Gelbard.pdf,http://drive.google.com/uc?export=view&id=1-8N5o8vu4nSFoCu25tSEdJP-n4hgwaSC
1966 28 junio Revolución Argentina.pdf,http://drive.google.com/uc?export=view&id=1AdGa72miOXa0UjwcY2JC_4wRGaoZv3Uf
"1968 22 marzo ""Mayo Francés"".pdf",http://drive.google.com/uc?export=view&id=1kdtrbQPOmrHLpyzT0TAa5CHzIJmmaXiV
1982 02 04 Malvinas.pdf,http://drive.google.com/uc?export=view&id=1t3dfXu7sQt3jvIaoOx0VF09tzOnqYYL0
1977 30 abril Las Madres de Plaza de Mayo.pdf,http://drive.google.com/uc?export=view&id=1adIACA9OxctFmydfdDCypd9cESKV3gca
1976 24 marzo HECHO TURÍSTICO Promoción de Turismo Receptivo.pdf,http://drive.google.com/uc?export=view&id=1xmsBr5pr3-oD-GiU_8ERLoaETwmuN9Cu
1968 05 ene al 20 ago Primavera de Praga.pdf,http://drive.google.com/uc?export=view&id=16Z7MW_3dNcex87eEiNOwyOkK48HbZq2D
1970 29 may Secuestro y Muerte de Aramburu.pdf,http://drive.google.com/uc?export=view&id=1qM9n98HFl9fyKHh0JbbTXyJmENZk-yLX
1968 4 abr Asesinato M L King.pdf,http://drive.google.com/uc?export=view&id=1JjER5Zk4f2gHs44o6mr3iL5o4Bmz7SNs
