startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1999-10-25 01:18:00","1999-10-25 01:18:00","24-10-1999: triunfo electoral de De la Rúa","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"1999-12-11 01:18:00","1999-12-11 01:18:00","10-12-1999: Presidente Fernando De la Rúa (hasta 20-12-2001)","<p></p>","65","","shapes/triangle_gray.png","","da","1","100","0",""
"1999-12-11 01:18:00","1999-12-11 01:18:00","10-12-1999: Ministro de Economía J.L. Machinea (hasta 5-3-2001)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2000-04-26 21:39:00","2000-04-26 21:39:00","26-04-2000: Ley &#34;Banelco&#34; de reforma laboral","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1mWcmqCOaHK-e9XMykacabLvdi5ONgS9t/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2000-05-29 14:01:00","2000-05-29 14:01:00","29-05-2000: se promulgó la ley de reforma laboral (Ley &#34;Banelco&#34;)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2000-06-01 12:00:00","2000-06-01 12:00:00","2º Sem-2000: comienza recesión en EEUU","<p></p>","60","","shapes/triangle_gray.png","","mo","1","100","0",""
"2000-08-01 12:00:00","2000-08-01 12:00:00","Ago-2000: inicio del &#34;Plan Colombia&#34;, entre EEUU y Colombia (diseñado por presidente Pastrana). Asume la presidencia A. Uribe","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"2000-10-05 21:39:00","2000-10-05 21:39:00","05-10-2000: De la Rúa ascendió a los operadores políticos de la ley &#34;Banelco&#34; (en lugar de apartarlos del gobierno)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2000-10-06 21:39:00","2000-10-06 21:39:00","06-10-2000: renunció el Vicepresidente Carlos &#34;Chacho&#34; Álvarez (escándalo Ley &#34;Banelco&#34;)","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1yeovCT0L320uFaz_oSqTeAYusZxAPIDu/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2000-11-11 01:18:00","2000-11-11 01:18:00","10-11-2000: se acuerda con el FMI el &#34;Blindaje&#34; de U$D39.700 millones","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"2000-12-19 01:18:00","2000-12-19 01:18:00","18-12-2000: Köler declaró su apoyo al &#34;blindaje&#34;","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"2001-03-02 21:39:00","2001-03-02 21:39:00","02-03-2001: renunció Ministro de Economía Machinea, por la crisis","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2001-03-06 01:18:00","2001-03-06 01:18:00","05-03-2001: Ministro de Economía Ricardo López Murphy (hasta 20-3-2001)","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1BfP2lbHkPZo3o7HO791VirXopNUS2vry/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2001-03-21 01:18:00","2001-03-21 01:18:00","20-3-2001: Ministro de Economía D. Cavallo (hasta 20-12-2001)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"2001-04-02 01:18:00","2001-04-02 01:18:00","Abr-2001: se acuerda con FMI el &#34;extrablindaje&#34; de U$D4.263 millones","<p></p>","60","","shapes/triangle_gray.png","","mo","1","100","0",""
"2001-04-28 20:20:00","2001-04-28 20:20:00","28-04-2001: Dennis Tito, el 1º turista espacial ","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1kK_08IWJl-Xty7QfWX67XcxJkSYgm53R/view?usp=sharing"",""label"":""Turismo""}]","shapes/triangle_gray.png","{""src"":""http://guejarsierra.org/wp-content/uploads/2017/03/puntos_informacion.png"",""display_class"":""inline"",""scale"":""25"",""width"":""270"",""height"":""245""}","da","1","100","0",""
"2001-06-02 01:18:00","2001-06-02 01:18:00","Jun-2001: &#34;Megacanje&#34; de U$D7.821 millones (diferimiento de pagos del 2001 y 2002)","<p></p>","60","","shapes/triangle_gray.png","","mo","1","100","0",""
"2001-06-02 01:18:00","2001-06-02 01:18:00","2º semestre-2001: 15 cuasimonedas y aumentó la emisión (Lecop del BCRA, Patacones de Pcia.Bs.As.)","<p></p>","60","","shapes/triangle_gray.png","","mo","1","100","0",""
"2001-07-01 11:23:00","2001-07-01 11:23:00","Jul-2001: impuesto a las transacciones bancarias (&#34;al cheque&#34;) y eliminación exenciones de IVA","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"2001-07-02 01:18:00","2001-07-02 01:18:00","Jul-2001: Ley 25.453 de &#34;Déficit Cero&#34;","<p></p>","60","","shapes/triangle_gray.png","","mo","1","100","0",""
"2001-09-11 12:00:00","2001-09-11 12:00:00","11-09-2001: atentados a las Torres Gemelas y al Pentágono","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1cfKUorzVnY-6iWsW85Bf-z-_OcIEy4tA/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"2001-10-14 21:39:00","2001-10-14 21:39:00","14-10-2001: derrota al gobierno en elecciones legislativas","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
