startdate,enddate,title,description,importance,link,icon,image,date_display,"low threshold","high threshold",y_position
"2001-12-21 13:41:00","2001-12-21 13:41:00","21-12-2001: Presidente Ramón Puerta (hasta 23-12-2001)",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-21 13:41:00","2001-12-21 13:41:00","21-12-2001: Ministro de Economía J. Capitanich (hasta 22-12-2001)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-22 13:41:00","2001-12-22 13:41:00","22-12-2001: Ministro de Hacienda R. Frigeri (hasta 03-01-2002)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-23 13:41:00","2001-12-23 13:41:00","23-12-2001: Presidente Adolfo Rodríguez Saá (hasta 30-12-2001)",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-25 00:55:00","2001-12-25 00:55:00","24-12-2001: Argentina entra en default (Rodríguez Saá)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-30 13:41:00","2001-12-30 13:41:00","30-12-2001: Presidente Eduardo Caamaño (hasta 02-01-2002)",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-01 06:59:00","2002-01-01 06:59:00","2002: EEUU volvió a mostrar un crecimiento moderado",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"2002-01-01 13:41:00","2002-01-01 13:41:00","01-01-2002: entró en circulación el Euro (cotización por debajo del dólar de EEUU)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-02 13:41:00","2002-01-02 13:41:00","02-01-2002: Presidente Eduardo Duhalde (hasta 25-05-2003)",<p></p>,65,"[{""""url"""":""""https://drive.google.com/file/d/1kvbPtDwbRlNwxtkwiZSecTENsAOyp6uV/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2002-01-03 13:41:00","2002-01-03 13:41:00","03-01-2002: Ministro de Economía J. Remes Lenicov (hasta 26-04-2002)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-06 06:59:00","2002-01-06 06:59:00","06-01-2002: Ley de Emergencia Económica y de Reforma del Régimen Cambiario (Ley 25.561). Fin de la Convertibilidad",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-06 19:26:00","2002-01-06 19:26:00","06-01-2002: tipo de cambio subió a 1,40$/U$D, mercado oficial. Existencia de un mercado libre.",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-06 19:26:00","2002-01-06 19:26:00","06-01-2002: pesificación de las tarifas públicas (se &#34;desdolarizaron&#34;)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-09 19:26:00","2002-01-09 19:26:00","09-01-2002: &#34;Corralón&#34; (inmovilización de los plazos fijos)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
